,LAS_sens_nonElderly,LAS_spec_nonElderly,MATTS_sens_nonElderly,MATTS_spec_nonElderly,WMAS_sens_nonElderly,WMAS_spec_nonElderly,YAS_sens_nonElderly,YAS_spec_nonElderly,SWAST_sens_nonElderly,SWAST_spec_nonElderly,LAS_sens_Elderly,LAS_spec_Elderly,MATTS_sens_Elderly,MATTS_spec_Elderly,WMAS_sens_Elderly,WMAS_spec_Elderly,YAS_sens_Elderly,YAS_spec_Elderly,SWAST_sens_Elderly,SWAST_spec_Elderly
36,0.63840399,0.825831703,0.486284289,0.931506849,0.541147132,0.878669276,0.558603491,0.825831703,0.399002494,0.941291585,0.394230769,0.880952381,0.253205128,0.953463203,0.330128205,0.893939394,0.391025641,0.880952381,0.230769231,0.945887446
37,0.723039216,0.839285714,0.522058824,0.920634921,0.634803922,0.851190476,0.632352941,0.839285714,0.443627451,0.932539683,0.404761905,0.885555556,0.25,0.968888889,0.297619048,0.895555556,0.389880952,0.885555556,0.214285714,0.963333333
38,0.651948052,0.829222011,0.441558442,0.925996205,0.579220779,0.859582543,0.594805195,0.829222011,0.379220779,0.943074004,0.425,0.865720524,0.275,0.959606987,0.365625,0.878820961,0.40625,0.865720524,0.2625,0.949781659
39,0.696969697,0.84496124,0.532828283,0.926356589,0.583333333,0.885658915,0.606060606,0.84496124,0.449494949,0.947674419,0.377142857,0.889390519,0.22,0.972911964,0.297142857,0.911963883,0.368571429,0.889390519,0.191428571,0.965011287
40,0.619647355,0.831067961,0.445843829,0.926213592,0.539042821,0.848543689,0.549118388,0.831067961,0.382871537,0.918446602,0.426183844,0.877993158,0.278551532,0.972633979,0.39275766,0.895096921,0.412256267,0.877993158,0.253481894,0.96009122
41,0.657534247,0.828153565,0.460273973,0.910420475,0.550684932,0.859232176,0.550684932,0.828153565,0.416438356,0.932358318,0.420485175,0.882080925,0.25606469,0.966473988,0.342318059,0.898265896,0.398921833,0.882080925,0.23180593,0.959537572
42,0.680589681,0.847524752,0.501228501,0.928712871,0.5995086,0.867326733,0.624078624,0.847524752,0.452088452,0.942574257,0.448179272,0.869169511,0.263305322,0.970420933,0.389355742,0.901023891,0.431372549,0.869169511,0.257703081,0.963594994
43,0.709273183,0.83625731,0.561403509,0.929824561,0.644110276,0.861598441,0.634085213,0.83625731,0.481203008,0.943469786,0.454545455,0.882016037,0.303030303,0.969072165,0.391184573,0.899198167,0.438016529,0.882016037,0.256198347,0.956471936
44,0.661616162,0.819767442,0.492424242,0.914728682,0.555555556,0.84496124,0.578282828,0.819767442,0.444444444,0.934108527,0.43697479,0.879408419,0.285714286,0.967007964,0.344537815,0.905574516,0.411764706,0.879408419,0.25210084,0.963594994
45,0.662436548,0.828185328,0.47715736,0.930501931,0.604060914,0.847490347,0.598984772,0.828185328,0.431472081,0.932432432,0.449567723,0.871766029,0.270893372,0.973003375,0.337175793,0.886389201,0.432276657,0.871766029,0.236311239,0.96287964
