"","Sens_DR","Spec_DR","Number_recieving_MTC_care","proportion_died_before_discharge","proportion_died_between_discharge_and_1_year","Years_lived","undiscounted_QALYs","discounted_QALYs","undiscounted_Costs","discounted_Costs","proportion_ISS_over_16","proportion_ISS_over_8_under_16"
"276",1,NA,1,0.255,0.0163,16.7121714751681,11.8323470996588,7.13248489761694,168930.732463964,102178.007758928,1,0
"277",1,NA,1,0.2666,0.0242,16.4443850333595,12.7211237558078,7.67497124681661,177300.115060944,106638.667671759,1,0
"278",1,NA,1,0.1404,0.0258,19.4875122606396,13.1578384150792,7.85396680335297,243771.507318308,142592.975983763,1,0
"279",1,NA,1,0.1014,0.0294,20.5187074729157,15.7409102665421,9.3600045761185,195830.293385788,115888.776905516,1,0
"280",1,NA,1,0.0997,0.0264,21.1640903751379,15.6946101383124,9.2492031844717,281046.828852739,161164.729791668,1,0
"281",1,NA,1,0.1142,0.0275,20.0295890832558,13.5188280136925,8.04489957391237,203813.624414247,120014.438996593,1,0
"282",1,NA,1,0.1621,0.0223,19.645688072645,13.2738221565916,7.85689408065522,192785.853518604,113411.071969601,1,0
"283",1,NA,1,0.1097,0.0276,19.8294469196924,13.899630084977,8.3116217418729,215287.107328729,127240.425856625,1,0
"284",1,NA,1,0.1286,0.023,19.3705669527519,14.7999337489904,8.87268514991395,300422.802642837,175268.493327772,1,0
"285",1,NA,1,0.1683,0.0247,19.8684377190943,13.5521710054068,8.00742934286183,229272.877129275,132856.615550255,1,0
"286",1,NA,1,0.1599,0.0197,18.6368231541538,13.9998108457225,8.43522110597829,171046.742471075,103305.104085211,1,0
"287",1,NA,1,0.2114,0.0251,16.7825029740416,12.5692485631954,7.67747542765161,187411.691190754,114214.721506627,1,0
"288",1,NA,1,0.1558,0.0305,18.1214920234909,11.9231208164861,7.20408120415123,216681.564360833,129702.765203405,1,0
"289",1,NA,1,0.1595,0.0265,18.6446137581238,12.188032333557,7.33172796584834,188247.965050032,112931.090095693,1,0
"290",1,NA,1,0.1599,0.0209,19.6686544192895,14.5833207406637,8.65602061457749,192915.730888602,113656.57504536,1,0
"291",1,NA,1,0.1926,0.0225,18.2661414555668,13.100043195785,7.87197187436922,202401.645612274,120786.725441393,1,0
"292",1,NA,1,0.1973,0.0244,18.1717559073558,12.1529090583876,7.29220451328989,207304.356981487,122904.511862476,1,0
"293",1,NA,1,0.2164,0.0292,17.6953214237175,11.8017219948478,7.06460357941421,151999.089433061,91848.1354060914,1,0
"294",1,NA,1,0.1161,0.0249,19.449000213661,13.8607037385839,8.33371566183708,215663.52421292,128366.966461398,1,0
"295",1,NA,1,0.1284,0.0311,18.5074161273048,13.8847310128065,8.41583967936121,256626.533941334,152863.81124077,1,0
"296",1,NA,1,0.1915,0.0236,18.5132374110465,13.2825585998285,7.92694271600272,188459.759992847,111847.23141982,1,0
"297",1,NA,1,0.1251,0.0305,18.8106791766701,14.5082736986564,8.75620972297409,169216.604802161,102783.418560354,1,0
"298",1,NA,1,0.1339,0.0275,19.1170390378552,16.015688995653,9.62559295320488,189391.791740582,113547.100718268,1,0
"299",1,NA,1,0.1416,0.0266,18.9518241237313,11.6497369496578,7.00481054229654,213525.16463213,127118.130133395,1,0
"300",1,NA,1,0.1277,0.0312,17.7023086436114,12.7088084349079,7.809484700281,214243.647905323,130815.121906285,1,0
"301",1,NA,1,0.1126,0.0232,21.0757439483675,14.3873808631099,8.47170716643271,245566.175783213,141218.795673894,1,0
"302",1,NA,1,0.1667,0.019,19.4154421523655,12.3329893383819,7.32551586169723,184172.418261804,109151.343678323,1,0
"303",1,NA,1,0.3072,0.0171,16.0784670408049,10.7569619536816,6.46314072334472,231039.824417013,136105.488506893,1,0
"304",1,NA,1,0.188,0.0252,17.0205593406891,11.2074623440599,6.85857724976976,184716.191756526,113054.4613585,1,0
"305",1,NA,1,0.1866,0.028,19.3912862519658,13.008532106796,7.6737986557815,238164.113439497,137429.362739087,1,0
"306",1,NA,1,0.1539,0.0238,18.671136629374,12.0571695584467,7.26859957440771,239125.389025569,141651.823409659,1,0
"307",1,NA,1,0.0981,0.0254,19.2767504644578,14.5514295965142,8.79385649339972,185825.387801449,112334.869318319,1,0
"308",1,NA,1,0.2521,0.0193,16.3264095485318,12.5162441284298,7.59661467031644,184625.11762014,111713.47334366,1,0
"309",1,NA,1,0.1146,0.0291,20.7649657875698,16.3111964340529,9.61632167936627,260399.119111761,149705.473861386,1,0
"310",1,NA,1,0.1693,0.0211,19.0667779478143,14.8167644665611,8.8500798041374,267857.665566645,155892.969665475,1,0
"311",1,NA,1,0.1593,0.0249,18.983927055665,13.6072370698229,8.13196419821614,254442.3610095,148669.372447062,1,0
"312",1,NA,1,0.1502,0.0263,18.3092073863343,14.343266367746,8.6712831644755,197918.876160998,118869.834715092,1,0
"313",1,NA,1,0.1332,0.029,17.1945166406145,12.569119573218,7.77947989172898,162162.273338986,101606.792147063,1,0
"314",1,NA,1,0.1471,0.0284,20.190023726325,15.7224765738318,9.26296195964454,190317.018372026,111234.280370591,1,0
"315",1,NA,1,0.1865,0.0199,17.1035768623617,13.0215259749936,8.00420021952712,145873.814636787,91377.1600133354,1,0
"316",1,NA,1,0.1012,0.0248,20.5606907765584,14.0406284380261,8.34764465979946,241544.428917133,140893.79568417,1,0
"317",1,NA,1,0.1684,0.0225,18.5860751850066,12.5157292243626,7.50640524451112,227828.167193191,134530.086446924,1,0
"318",1,NA,1,0.1659,0.0228,20.1672919747057,14.9210843553084,8.76285566366691,212570.887558811,122966.037749293,1,0
